Sample ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Class
19,-1.551247018,0.497642899,0.110804002,-0.035909468,-1.021593928,1.152638123,1.178673934,0.732184257,-0.667160551,-0.444538354,1.090392088,1.496930542,0.426602394,1.047638553,0.417840979,0.796526165,-1.329881587,-0.773243373,-0.110872482,-0.135129785,0.537114406,0.884199181,-0.497205258,-0.401392947,-0.529741685,1
20,-0.036650502,-2.130948921,0.490301681,-0.454578646,0.706319669,0.021540873,-1.297920555,0.028398913,-1.180307974,0.795793985,1.655289131,0.16944199,0.667269686,0.053826387,-0.055198384,-0.392262482,-0.959910743,-0.313984366,-1.347106769,0.465612905,-0.156174776,1.141078151,0.692886167,0.224892025,-0.918277116,4
21,1.534059017,1.440599746,-2.11959341,-1.317680203,1.407930265,-0.179452415,-0.03156923,0.676882651,0.50786262,1.327239552,-0.638887523,0.780704003,-0.307657121,0.208413575,-1.708067426,0.879544444,-0.629989887,0.954069361,0.278257837,0.791941623,-0.242040624,1.509742008,-0.319746617,-2.850662068,0.359073908,5
22,-1.05327266,-0.577984406,0.230795015,0.92935297,-0.683226352,-0.478853075,-1.142040468,-1.056827003,-0.210409174,-0.586253073,0.943586724,0.386528149,-0.47267384,0.476436985,-0.004680293,1.245397887,0.050921523,0.254576391,-0.07390648,0.071999861,1.530970846,-0.381194077,0.170048327,-1.305335348,1.151410553,4
23,-1.649790466,1.19506978,0.662224336,-0.315145884,-0.539159365,0.295330533,1.035297139,1.171726985,0.878921357,0.245316438,-0.055150455,1.253172431,0.551691917,-1.365389331,1.26245673,-0.126528885,-0.459761128,0.293954117,0.576226477,0.353060331,0.20442613,0.34818825,0.30184037,0.090025448,-0.763668956,1
24,0.74585072,1.602578533,-1.277249337,-0.817239104,0.029648387,0.367714664,-0.04758337,-2.031382035,0.055543484,0.337705436,-0.159936745,-0.908815742,-1.228078054,-2.08195842,0.449273238,1.52347432,-0.423962303,-1.492743404,-0.875239878,0.244431034,-0.600473017,0.723508502,-1.048645447,1.166931739,0.603808938,3
25,1.287811236,-0.646656066,2.004848548,0.376453228,-1.843093133,0.018130805,0.529411222,0.269001244,2.845872905,-0.868468148,0.474478882,-1.608656808,-0.405644672,1.452970476,-1.365229874,-1.081819338,-1.227151938,-2.355165809,1.560120272,-0.448979562,1.904730443,-0.621195446,0.742405329,-0.051799751,0.267683503,0
26,0.29180446,-1.537330859,1.53883131,-0.234364167,0.509931535,0.76126544,0.205542988,0.546961529,-1.540801049,1.996394337,-0.250888979,0.676377562,0.554238126,0.775795358,-0.305790543,-0.731455706,-0.405866819,-1.580894155,-0.093870089,0.66984635,-1.260460838,-0.279378387,2.732929732,0.581324305,-0.171815347,4
27,0.698328532,0.559373851,-1.886578591,-1.155393854,0.066053985,0.616345038,-0.691010084,0.504727489,2.575833687,0.317647901,-0.42807203,-0.411809342,0.130550006,-1.11335826,0.262470028,1.136734559,-1.648984723,1.800436109,-0.502736525,-0.425321468,0.086775747,1.205612617,1.098543546,-0.452153875,0.92527852,3
28,-0.639787179,-0.584286494,-0.759694822,1.225819152,0.247761433,0.208783145,-1.936436429,-0.230424759,2.2359089,0.585760403,0.625989693,0.653206534,-0.633457644,-1.363220433,-1.282124665,0.587935507,1.037448317,1.509413009,0.541029874,-0.720280763,1.332718594,-0.37866362,0.741820554,-0.541397458,0.519209054,4
29,0.142115158,1.674933818,-1.442720864,1.103245193,0.637728642,0.824401928,0.022382889,-0.528197528,1.52223884,1.80305163,0.644426854,0.142493345,0.671906253,-0.532262475,-0.846194827,-1.332550029,-0.246749188,0.185875653,0.306298058,0.530025862,0.857687137,-0.115504666,-0.592388572,-1.96193238,-0.607796612,3
30,1.517494118,1.10659373,-0.500476033,1.000109471,0.330407513,-0.867925475,-0.269928536,-0.702785715,0.012233671,0.999361047,0.693911882,0.932299429,3.315748691,-0.272719478,0.082367555,0.089863112,1.723612563,-0.697936879,-1.386076269,-2.967588485,-0.33493993,-0.420847885,-0.508114531,-0.386014049,0.472673355,2
31,-0.714757452,-0.954098043,-1.507685938,-1.026200857,0.715018522,0.750671358,1.184843619,0.65074118,0.127226081,-1.163418364,1.613080937,-1.109649478,0.207204749,-0.585818161,-1.324013776,0.451997845,-0.022932037,-1.28487081,1.625152713,0.913716818,-0.551670084,0.453459646,-0.813906492,0.365755536,-0.481741504,9
32,-1.107311024,-1.064086117,0.156481716,-1.016939787,-0.312222604,-1.039143893,1.788711366,-0.187442294,1.133804251,1.168645805,0.774448251,-1.326722102,0.350628886,0.025513679,-0.174345698,-0.425362524,-1.682970307,1.129088689,-0.962077634,0.937923084,1.482210471,0.769203403,1.023551034,-0.110732464,-0.37603403,7
33,-0.908312639,-0.387827394,0.107916825,-0.162497611,0.287366453,-1.770973446,1.188906801,0.216090814,-1.249205521,1.113185797,-0.523534885,-0.749877651,-0.864698423,-1.530473905,-1.131331823,0.296835173,0.533369275,0.126308339,0.516175432,-0.302206768,1.032226522,-0.018823361,0.303207771,2.039075805,-0.012057283,7
34,-1.121163789,-0.355701151,0.14118648,-0.887016303,0.642266079,0.503185102,0.505515507,0.322285932,-0.199854248,1.208221434,1.125477126,-0.723051139,-0.641086871,-0.301724274,-1.5963118,0.843126639,0.012807159,-0.17557526,0.339278896,0.45514795,2.274095371,0.454901505,0.27802023,-0.701961653,1.045023801,4
35,0.204655695,0.195108508,-0.456613139,0.452015871,-1.523957555,-1.498081765,-1.028149046,-0.993612144,0.183169857,-1.34108542,1.243242013,-0.07192394,-1.244047504,0.271079063,-1.261124564,0.36042001,-0.065355974,0.544087583,-3.508070157,0.382719468,2.069913271,-1.903051434,0.142344937,0.391149101,1.542855707,6
36,0.169881429,-1.140484448,0.676194822,2.566981862,0.066842725,-0.629115194,0.743271214,0.782549974,0.632425139,0.133497004,1.729999102,0.553323903,-0.418519556,0.452673221,-0.527375007,0.777729275,0.232635505,0.698428623,-1.352345956,1.271739924,-0.087385559,-2.576787023,-1.301199348,1.676726647,-0.04459287,6
37,-0.085391867,-0.015648736,0.228776752,-1.010530986,0.700730581,-2.153285629,2.003435889,-1.180214186,-1.116126025,1.853605582,-0.941285227,1.284358915,-0.019022976,0.103881154,-0.56041945,-0.65446449,0.418724654,-0.998998134,-0.096645919,-1.711147482,-1.447290502,-2.382491036,-1.072934695,0.168401632,0.017755904,7
38,-1.160435136,0.203504138,-0.728387686,1.073580195,-1.15357717,0.276766249,-0.977651653,-0.070741844,-0.71437279,-0.509391546,-0.400550433,1.109166058,0.153406145,1.034324274,0.213027911,-0.596320699,0.479757021,-0.34387444,-0.034515843,-0.77785009,0.287406054,-0.407660503,0.404995468,-0.327174186,-0.115957623,3
39,-1.038089914,-1.094840349,-1.080242719,0.220057707,-0.50311441,-0.539655052,0.879236261,-0.928669655,-0.878628125,-1.524403549,-0.294704924,-0.702334021,0.495064928,0.214571773,-1.341793481,0.646409309,1.287654585,0.036413799,-0.273562844,1.204294988,-0.719953392,-0.711726939,-0.834290191,0.232323993,0.989163913,7
40,-0.307191448,-2.098036631,-1.032982293,-0.503559704,0.395215069,0.453147024,0.685120988,0.024804193,0.329553478,-0.699170918,1.599447056,0.518500199,0.032529642,0.310978372,0.951867967,0.673566002,0.578017568,0.329322464,0.934782704,0.325449309,-2.774321789,0.461984012,-0.500504656,-0.869400248,0.758426207,9
41,0.074244441,1.490953636,-1.260392331,-0.639190133,0.603416597,1.295184386,1.743712205,-2.073115944,0.562843269,-0.263803049,0.60777538,-0.126724446,-0.472956313,0.071297516,0.045780867,-2.047050201,-0.679684587,0.238174704,0.513187722,-0.487057329,-0.124099813,-2.523557609,1.26292587,0.318037351,-0.140328205,3
42,-0.016950251,-1.560828255,1.734489906,0.257614576,-0.708958168,1.010291331,-0.819128218,-0.229103996,0.047379021,1.025009887,0.304276198,1.507066288,0.864263235,0.69002985,-0.30823517,-1.173669956,-1.693818672,-1.024588762,-0.430066952,0.510530663,-0.805667366,-1.534990402,1.91491031,0.371917582,0.146264682,4
43,1.1293762,-1.528954987,0.401789447,-1.94555615,-1.59475616,-0.728876707,1.195399326,-0.784982821,1.13716407,0.970546916,0.627165255,0.789832173,-0.948282571,-0.496279231,2.608335442,-2.194731248,-0.472847759,-0.028273358,-0.453612527,0.288981059,0.97258449,-0.742414317,0.251804448,-1.459132563,0.048915973,7
44,2.908542592,-0.115590783,-0.690290136,-0.761962864,-0.788248332,-0.742062387,0.166572654,-0.06188416,0.908560561,0.762675088,-1.3435618,-0.420333388,1.535446051,-0.880940615,0.030397781,0.996860836,-2.874082946,1.799651278,1.388429344,-1.175974147,0.835298657,0.771172132,-0.093271797,-1.2249111,0.25267593,0
45,1.16017568,0.195904748,2.132330225,-0.357808886,-0.019541545,1.802954423,0.235395404,-0.089641749,1.099581338,0.264719463,-0.972169419,0.062798366,0.593109519,-1.784048395,-0.858380664,-0.708100144,-0.245907189,0.99840772,-0.287504601,2.191061459,0.813326617,-1.103501648,-1.742348339,0.546486149,0.77626824,6
46,-0.155879637,-1.099680744,-0.970726346,0.964208993,-1.165780562,-0.479989201,-0.290280645,-1.937016795,1.183306348,0.7196647,-2.88540783,-0.510970343,-0.622999994,1.044507697,1.110286713,0.80993434,-0.167637708,1.022393934,-0.299099308,-0.993492991,0.27041537,2.510737967,-0.184238354,-0.299151778,-0.270193623,7
47,-1.127175452,-0.540335256,0.370028064,-0.121237816,0.58453117,-1.098299916,0.141630427,0.332936552,1.138142284,0.439083879,-0.78514897,0.371227455,-0.534036521,0.455547744,1.106082501,-0.003192789,1.198754764,-0.348690391,-0.518285798,-1.136540372,0.236718433,1.387988901,1.849050309,0.400277301,1.189031877,7
48,0.971228085,0.566882579,0.499733014,0.767141965,0.41613901,-0.893430516,-0.527832603,-2.854279765,-1.14345255,0.22436448,1.018410734,1.700026941,0.70091065,-0.810935754,-0.425355086,-0.691626405,0.587434242,0.312112676,0.147594916,-1.575960305,0.549476264,1.614626881,-1.071050838,-1.303774852,0.978107342,2
49,3.430743967,0.116499246,-0.912837548,-0.238754198,-1.194040637,-1.982369314,2.082601358,1.185999602,1.276106097,-0.636578278,0.398177107,-0.173881542,1.033214568,0.153872608,0.148687912,-0.089405256,0.427642715,-0.85216917,-0.136780428,-1.02106625,0.530092648,-0.52125101,-0.165240096,0.837981868,1.156511003,0
50,-0.371807744,1.348288156,-0.254262352,-0.101583545,-0.430207056,-0.113371259,0.717928047,-2.569890871,-0.420920348,-0.523065799,1.714070709,-1.055609285,0.39157954,-1.449175115,-0.076770094,-1.092129443,-0.084300102,-0.166393199,0.08998717,-0.371748836,-1.578529439,-1.520288574,2.038290231,-0.351934088,0.12272632,3
51,2.240981043,0.265873309,0.470818123,-0.990127421,-2.740704454,-0.887266261,0.010348656,1.581287457,1.937879176,-1.371966767,0.601362569,-1.162417447,-0.470070345,0.063435527,-1.163806606,-0.641177107,-0.01077255,1.69857249,-2.023715458,-0.865583067,0.851963306,-1.460765851,0.886995762,-0.618018753,-0.543712117,0
52,2.801390143,0.628659531,-1.033902695,0.891340319,-0.867659923,-1.607773163,0.680763777,2.690804709,0.075562905,0.312858489,1.434845259,0.32031316,1.674055109,1.249894043,-1.920888332,-2.448678753,1.262121885,1.374396669,1.156131186,0.548859044,0.183691249,-0.994651038,0.561488357,1.228177617,0.417074954,0
53,-0.861751618,0.036060285,-1.216464494,0.430655226,-0.74106025,0.612404989,0.431202904,1.006514543,0.413476319,-1.449594615,-1.952588637,1.553752861,-0.08722608,1.123170459,-0.317702502,-0.356040177,0.177740107,-0.964868368,1.481359709,-0.056624041,-1.115531538,2.06378123,-0.965189502,1.297731477,-0.420792333,3
54,-0.175381873,1.42724494,0.582418082,1.499511058,-0.014494104,1.718499189,1.068841997,-0.124967482,0.331706889,-0.713469067,0.23722024,0.594416881,0.055882977,2.128389454,0.532874199,-0.601147696,2.047092461,0.628397128,-0.180683388,-1.131972907,-0.071698404,1.067230275,-0.216165119,-0.066325037,-3.382098389,2
55,-0.242021452,-1.422622628,-0.576691134,-0.238067867,-0.118546486,0.771650318,-1.989900696,-0.73645868,-0.536347646,0.358844123,0.677381388,-1.250032186,-0.247023088,1.059731338,-0.581194129,-0.082620596,0.095191227,0.05350721,1.419800804,-0.439286927,1.008204666,-0.587443508,-1.476182242,-1.10278662,-0.094784682,4
56,1.825620283,0.64814079,0.258204268,-0.486510958,-1.676411044,-0.092483705,-0.73013454,0.788431864,-1.559383946,-0.032677581,0.083578953,-1.670027022,1.253971592,-1.094680499,-0.054999728,0.349420903,0.069829476,-1.024124236,-0.271932548,-1.412347419,0.4911495,-0.312901448,0.765031439,0.186822607,1.029819511,0
57,-0.131956849,0.832763519,1.012256526,1.090998044,1.36170046,-0.509456793,-0.566982901,-0.300435197,-0.935737492,-0.681899873,0.273147144,-0.849202611,0.688629121,0.096859154,-1.937596673,-0.35775388,0.025487181,0.44631388,0.109975422,-0.778607209,-0.241383642,1.69523333,-0.55458026,0.833555312,2.118330553,2
58,0.496109353,0.664986302,0.871605434,0.798263848,2.105101823,-1.135637457,1.909523751,-0.989403891,-0.82545082,0.014861341,-1.493292489,-0.465005124,-0.814757747,-1.265943428,-1.806278744,0.375421207,0.266579003,-1.326281636,-0.339453458,0.443113616,-1.265505845,-0.69004939,1.252395832,-0.599100362,1.501720729,2
59,-1.083953235,-0.671509727,0.802345937,-1.171140959,0.736444255,-0.239425284,0.18855958,1.088566774,0.485298135,1.169909746,-0.504976732,-0.559238554,1.03287455,-0.536079018,-1.280903542,0.356124035,0.574565002,0.763594357,-2.021210821,-0.801056993,1.586263631,0.335542597,0.13858608,0.434253749,-0.130793433,9
60,0.325239987,0.766294428,0.225307735,-1.079459293,-0.823735697,0.801014325,-0.072553461,-2.071303237,-1.452491667,-0.271864184,-0.609892242,-0.543867441,-1.244736129,-0.831293973,0.32661592,1.568307923,-1.324291094,0.187217379,0.119887311,1.373915944,-1.353425993,0.75191746,1.255959155,1.665854601,1.693484685,5
61,-1.646558467,1.098894508,0.806497658,-0.093385633,0.433481956,-1.448327062,-0.08716505,0.655899492,1.320510946,0.462500443,0.013440198,-1.124457912,-0.522404403,-1.609323271,0.882378955,-0.362448826,-0.2638081,-0.243186787,-0.208651246,0.187785699,0.928247352,-0.058229122,-0.421872436,0.035878143,0.485240891,1
62,-1.647009487,1.329139537,0.69086693,0.055553487,0.417414901,-0.837596157,0.009589594,0.964914364,1.634441602,0.34699035,-0.42907005,-0.645059662,-0.018977536,-1.318995961,1.248928656,-0.361737426,0.301870237,-0.486827255,0.473397054,0.140076702,0.192294384,-0.416419001,0.490220127,-0.229114334,0.306331278,1
63,-1.552849705,1.379992125,1.069361224,0.0510267,0.079350646,-0.879786211,0.111441044,0.828375284,1.204093043,0.117196601,-0.324652452,-0.558554265,-0.661055994,-1.816552115,1.048868782,-0.69637894,-0.190331966,0.358080191,0.251715512,0.687586984,-0.446975669,-0.198549984,-0.718921492,-0.285087901,0.557968268,1
64,-1.672844611,0.645636043,0.418562593,0.024763789,-1.183809371,0.736409977,1.026271638,0.722035948,-0.216588637,-0.401077598,0.807216022,1.497438448,1.010781843,-0.452820567,0.74023691,0.666768055,-0.801341467,-0.173985732,0.16318567,0.042752286,0.083898051,0.74112691,-0.51899249,-0.106230337,-1.321793332,1
65,-0.328165749,0.135426715,0.577774262,-0.055542466,0.141881877,2.358737468,-0.111880928,-1.050744758,-0.408838389,-0.651485345,-0.867294893,0.881824052,-0.49106415,0.18794051,0.518599263,-0.310696746,0.665618659,2.291085236,-0.305501703,0.084400514,1.727159318,-0.631638098,0.588156673,0.48738659,0.694741598,6
66,-0.060780317,-1.258042912,-0.496347586,1.622340853,0.227570381,-0.960698398,-2.203810431,-1.001689441,0.44857268,-0.137637897,-0.020205075,0.876918287,0.170598292,-0.585362246,0.879878535,-0.781604088,0.264738835,1.08235549,-0.291600633,-0.55287994,0.801211452,0.339884411,0.589907388,1.222568182,-0.884699083,4
67,0.098895638,0.150757613,-0.236112678,0.947463719,0.18067488,-0.528996826,-1.397386081,-0.908721358,0.270498881,1.646809373,0.525573022,1.290617621,1.475209897,0.165654687,-1.659664086,0.551127414,2.211596717,-0.214953038,1.160810265,-0.998828511,-0.102499061,-1.903291752,0.894652174,-1.627321114,-0.228485614,8
68,-0.503445488,0.022435805,0.652261677,0.504853089,1.317558729,0.646917927,-0.02461082,0.66812772,-0.16720434,1.294854787,-0.09540588,-0.780049265,0.220774145,2.19406446,0.572654274,-0.508364811,-0.33453464,-0.324621094,0.549933639,-0.794566231,0.428018326,2.38513724,0.567268744,-0.773644538,0.339300278,6
69,0.668179283,0.591208947,1.08697833,0.625196406,2.6073932,-0.689524756,-0.453048624,0.200719426,-0.660523705,-1.670987568,0.237528706,-0.350800126,1.62525204,0.101760117,-1.813025943,0.312880362,-0.996970514,0.615987417,0.898213576,-0.634695239,0.364099164,1.215418414,-1.351864129,1.494979661,0.59207442,2
70,-0.089132614,1.528320943,-1.760972156,0.525980344,-0.871585502,0.841255098,0.222699953,-1.026697591,0.267579301,1.764904663,-0.162248124,0.848664698,-0.112854614,0.241016114,-0.258841325,0.405065539,-0.956929328,0.127807271,-0.75076057,-0.458572107,-0.757462117,-1.455907032,0.845649703,-0.626038079,-1.600520683,3
71,-0.374202945,1.130304894,0.041819164,1.482352788,1.204271938,-0.768284991,2.128211943,-0.413488546,-0.201492218,-0.560738514,-0.442442789,-0.153792806,-1.093709805,-0.216414683,-1.045897993,-1.5862667,-0.132063188,0.518130915,-0.565351175,-0.753737711,-1.498332679,-1.116373145,-1.362214873,1.101756933,-0.020754572,2
72,-1.374011411,1.064502555,0.870422423,-0.08012642,0.825224233,-1.711832845,-0.362947918,0.446881299,0.744642299,0.559021564,-0.040872814,-1.690505789,-0.146591726,-1.05353263,1.125620131,-0.41497866,-0.271482607,0.662967449,-0.618741737,0.717227305,0.831786854,-0.505487791,-0.074072926,-0.102723254,1.057265854,1
73,-0.62759474,-0.875859719,0.555658583,-1.583104549,0.636605472,-0.339934493,-0.372447164,0.144660438,0.974173571,1.883081157,0.226217755,-1.029824466,-0.032076726,-0.803021219,-1.626506681,0.014281772,0.569414901,0.916169508,0.427591116,-1.253027092,0.537909331,0.071222238,-0.632047362,0.325264375,0.036294863,9
74,1.512286264,-0.806733852,0.712917025,1.439380658,2.012743458,2.462961442,1.239736918,0.569267972,-0.739644662,1.18903053,0.667499871,-0.067380986,-1.446869463,-0.130413299,0.063794376,-0.98170261,0.733793692,-0.930151147,-2.19283685,0.194959545,-0.142220601,0.371303524,0.421645267,-0.814591487,0.049581261,6
75,-0.789010023,1.351328181,1.031325381,-0.44883182,0.652954083,-1.323923155,-2.412192641,0.241157764,2.035759534,-0.468839273,0.057475028,-0.677329446,-0.387866173,2.339170927,0.310093958,0.491945538,1.152663288,-1.607313074,-0.618974025,0.860758786,-1.703762221,1.022441406,0.549685609,-0.00407048,-1.395845453,1
76,-1.192863214,0.38783159,-0.449864539,0.090949615,-0.446638847,1.632564241,1.064193134,0.106196996,-0.670628964,-1.956207649,0.736888748,1.345874277,-0.13915377,1.481727945,0.381721361,0.319679978,-1.681837316,-0.47592215,-0.111354689,-1.713176054,0.035103579,-0.243069457,-0.884536381,0.338881488,0.17907183,1
77,1.614076713,0.509823228,-0.289506212,0.154661846,-1.768931947,0.512944964,-0.399236557,1.609192568,-1.361655945,0.58341221,-0.631611162,-1.38484986,1.667139565,-0.534068839,-0.523424955,0.685882065,-0.511052414,0.049118183,-0.005301839,-1.037947116,0.541245657,-0.158370051,0.702960758,0.698383604,0.915947027,0
78,0.902236626,-0.332289233,1.899688942,-0.418805846,0.88682608,1.981911446,1.048133085,-0.821031257,1.208680334,1.60997085,-1.003569511,0.772059042,1.055434244,-1.186601058,-0.096223968,-0.148052475,-1.262769933,-0.184912831,1.063976778,1.575643938,0.484811515,-1.939005225,0.197104772,1.822769515,0.588835913,4
79,-0.324981228,1.799836316,-0.655219687,0.721733409,0.667278775,-1.408373954,-1.046293064,0.222496417,-1.098753191,0.268091633,0.729232053,-1.029858409,1.391419814,1.11438035,0.891651461,-0.529938211,-0.269174835,0.845097731,-0.674646655,0.602561971,-0.381868337,1.01930149,1.025840157,-0.250094853,1.139068266,2
80,0.590354177,0.26396242,-1.111918189,-1.586610481,1.752362709,0.531210352,-0.818653663,0.802335822,-0.324581257,0.290789949,-1.995710003,0.123714038,0.421850492,1.705275255,1.528627882,0.442619194,0.655346382,0.449636221,0.929283472,-0.30239103,1.320148422,-1.727993137,1.667559254,-1.270556621,-0.937167182,8
81,-0.382631058,-1.778678311,0.244431571,-1.332767261,-0.950900014,-1.09518251,1.099793604,-1.04964964,0.275764889,1.252061987,0.947678823,-0.05321425,0.842032235,0.406859168,0.255123479,-0.881253094,-1.297950946,1.384650722,-0.176560481,0.301940958,1.62098889,-0.003767318,1.497202535,-1.008767531,-1.228076343,7
82,-0.41290339,-1.491509075,-0.091119438,-0.89525114,-0.390605558,-1.863763442,1.87606597,-1.291242728,-0.868413876,0.889341229,-0.497005398,0.736710105,-0.063714027,-0.350803983,0.039474152,0.190280999,2.005531054,0.816809412,0.801232931,0.380845472,0.495099003,0.885011932,0.85209564,0.702427508,-0.071615454,7
